RETENTION_TIME	SPECTRUM	RETENTION_TIME_INDEX
200.775	156:72	209595.803722504
200.825	108:139 212:57 277:36	209647.241962775
200.875	207:74 273:33 289:30 290:41 302:27	209698.680203046
200.925	109:45 111:121 140:253 255:29 261:34 264:30 270:45 279:49 285:31	209750.118443316
200.975	163:202 167:46 224:25 256:39 262:36 265:26 276:32 278:45 284:39 299:28 301:31	209801.556683587
201.025	110:1215 141:170 176:307 186:186 196:74 209:63 281:53 294:28	209852.994923858
201.075	136:422 142:385 199:1458 200:397	209904.433164129
201.125	107:2002 137:186 291:42	209955.871404399
201.175	85:1793 119:4811 129:2054 134:5819 162:126 183:49 219:1799 220:656 252:26	210007.30964467
201.225	89:2423 104:3612 113:732 114:4394 118:24600 123:87 145:633 146:1661 158:939 172:401 184:1290 206:88 233:152	210058.747884941
201.275	86:13481 92:509 96:629 100:34904 115:6456 116:422902 117:64148 125:115 131:10549 132:5826 133:15189 143:364 144:2151 147:128498 148:22149 149:11380 191:5901 195:69 201:231 202:348 216:252 234:60 235:28 263:36	210110.186125212
201.325	88:6037 90:654 91:916 94:12874 101:8897 102:9394 103:31608 106:447 112:561 120:691 130:5196 157:130 190:22957 192:2482 193:470 197:70 218:7457	210161.624365482
201.375	87:6028 99:1694 105:3450 121:326 135:1732 164:89 171:59 175:981 185:164 188:408 204:161 312:28	210213.062605753
201.425	95:1702 97:507 98:1713 122:136 124:95 128:9633 138:193 154:93 159:265 169:60 180:63 189:334 194:140 198:91 211:69 214:65 259:42 283:42 314:26	210264.500846024
201.475	93:1838 126:230 168:65 222:41 267:36 269:26 296:33 297:28	210315.939086294
201.525	165:69 221:122	210367.377326565
201.575	152:225 174:2203 271:34	210418.815566836
201.625	208:78 215:55 293:35	210470.253807107
201.675	156:68	210521.692047377
201.725	217:305 273:30	210573.130287648
201.775	264:31 265:25	210624.568527919
201.825	303:26	210676.006768189
202.125	316:32	210984.636209814
202.275	250:31 255:31	211138.950930626
202.325	151:862 166:140 263:32 270:37	211190.389170897
202.425	237:37 269:31 276:31	211293.265651438
202.475	305:36	211344.703891709
202.525	259:28 260:31 279:25	211396.142131980
202.625	243:27	211499.018612521
202.675	235:26 242:37 281:25	211550.456852792
202.825	294:27 295:29	211704.771573604
202.875	254:26	211756.209813875
202.925	244:37	211807.648054146
202.975	282:33	211859.086294416
203.075	215:29 309:25 310:30	211961.962774958
203.125	165:25 238:30	212013.401015228
203.175	177:57 271:30	212064.839255499
203.275	153:26 168:28 226:51 240:27 299:25	212167.715736041
203.325	170:32 176:431	212219.153976311
203.375	213:29 236:38	212270.592216582
203.425	130:8914 167:28 174:9794 181:40 239:32 255:25 264:26 266:29	212322.030456853
203.475	175:1881 189:1356 221:35 286:26 302:25	212373.468697123
203.525	157:26 159:29 208:36 317:32	212424.906937394
203.575	314:33	212476.345177665
203.625	182:27 313:37 315:32	212527.783417936
203.675	289:31	212579.221658206
203.725	241:38	212630.659898477
203.775	164:36 173:29	212682.098138748
203.825	97:31 141:26 229:37 296:25 297:26	212733.536379019
203.875	202:38 312:28	212784.974619289
203.925	109:45 113:96 160:143 225:30 245:41 283:41 284:28	212836.41285956
203.975	281:32 300:32 311:32	212887.851099831
204.075	210:25 304:30	212990.727580372
204.125	179:32 205:28 232:27 263:26 268:26 305:26	213042.165820643
204.175	214:32 238:33 267:32	213093.604060914
204.225	226:42 228:29	213145.042301184
204.275	224:27 236:28 251:32 295:25	213196.480541455
204.325	120:33 227:26 261:25	213247.918781726
204.375	317:25	213299.357021997
204.425	260:28	213350.795262267
204.475	105:190 170:29	213402.233502538
204.525	264:25	213453.671742809
204.575	155:26 159:25	213505.109983080
204.625	151:90	213556.548223350
204.675	90:38 107:100 187:32	213607.986463621
204.725	143:63 165:30 167:31 247:136	213659.424703892
204.775	141:35 180:27 233:27 255:31 303:30	213710.862944162
204.825	154:25	213762.301184433
204.875	188:25 248:50	213813.739424704
204.925	106:52 235:28 273:29	213865.177664975
204.975	140:35 192:27 250:28	213916.615905245
205.025	125:30 267:32	213968.054145516
205.075	110:40 238:27 245:25	214019.492385787
205.175	135:26	214122.368866328
205.275	181:25 184:30	214225.245346870
205.325	157:38 204:25	214276.683587140
205.375	289:30 297:28	214328.121827411
205.425	126:41 252:31 310:25	214379.560067682
205.475	222:32 226:27 243:36	214430.998307953
205.525	105:205 207:39 299:28	214482.436548223
205.575	164:27 166:33 170:35 182:39 254:27 270:25 284:31	214533.874788494
205.625	111:63 171:25	214585.313028765
205.675	198:29 286:31 287:35 296:29	214636.751269036
205.725	197:28	214688.189509306
205.775	151:53 205:29 208:34 240:35 285:27	214739.627749577
205.875	220:31	214842.504230118
205.975	320:32	214945.38071066
206.025	91:35 199:36 213:37	214996.818950931
206.075	279:30	215048.257191201
206.125	295:27	215099.695431472
206.175	186:26 225:31	215151.133671743
206.225	120:35 204:31 267:29 268:38	215202.571912014
206.275	150:27 181:34 219:29 265:41 275:37 276:34 278:31 316:29	215254.010152284
206.325	95:115 96:52 135:29 160:26 183:27 251:35 256:31 314:39	215305.448392555
206.375	125:42 184:32 207:41 241:41 280:26 309:26	215356.886632826
206.425	310:25 311:26	215408.324873096
206.475	153:39	215459.763113367
206.525	178:35 284:34	215511.201353638
206.575	127:47 223:28 281:160 282:105 283:51	215562.639593909
206.625	162:31 169:26 189:44 255:30	215614.077834179
206.675	109:59 193:32 203:46 224:30 249:58 260:25 294:27	215665.51607445
206.725	221:28 246:34 266:33	215716.954314721
206.775	277:30	215768.392554992
206.825	104:25	215819.830795262
206.875	121:25	215871.269035533
206.925	165:32 220:26 296:30	215922.707275804
206.975	254:36 306:32	215974.145516074
207.025	191:36 304:25	216025.583756345
207.075	205:30	216077.021996616
207.125	313:35	216128.460236887
207.175	90:26 96:29 212:34 242:33 250:53 305:25 307:37	216179.898477157
207.225	227:32 311:30	216231.336717428
207.275	208:36 292:34	216282.774957699
207.475	180:27 259:26	216488.527918782
207.525	197:25 207:32 233:38	216539.966159052
207.575	106:32 166:31 272:30 284:32 314:25	216591.404399323
207.625	122:36 154:27 187:26 221:39 251:35 271:26 273:28	216642.842639594
207.675	124:31 195:25 203:29	216694.280879865
207.725	110:36	216745.719120135
207.775	202:30 219:35 248:59	216797.157360406
207.825	161:26 265:29 297:28 315:33	216848.595600677
207.875	152:27	216900.033840948
